time,CHL
2011-12-31,1.162474
2012-01-05,0.798548
2012-01-13,1.057189
2012-01-21,0.840954
2012-01-29,0.968403
2012-02-06,0.898067
2012-02-14,1.505908
2012-02-22,3.680203
2012-03-01,1.422809
2012-03-09,1.317616
2012-03-17,1.665635
2012-03-25,2.096196
2012-04-02,1.406911
2012-04-10,1.186705
2012-04-18,1.404039
2012-04-26,1.08377
2012-05-04,1.112891
2012-05-12,1.023799
2012-05-20,1.211211
2012-06-05,1.456634
2012-06-13,1.506184
2012-06-21,1.52059
2012-06-29,1.399394
2012-07-15,1.145557
2012-07-31,1.283566
2012-08-08,1.178513
2012-08-16,1.2416
2012-08-24,1.195838
2012-09-01,1.161711
2012-09-09,1.057925
2012-09-17,1.079426
2012-09-25,1.077672
2012-10-03,0.93136
2012-10-11,0.923242
2012-10-19,1.068066
2012-10-27,1.078445
2012-11-04,0.999773
2012-11-12,1.583202
2012-11-20,1.079881
2012-11-28,0.984337
2012-12-06,0.968698
2012-12-14,0.786808
2012-12-22,1.236339
2012-12-30,1.544616
2013-01-05,1.65343
2013-01-13,0.873465
2013-01-21,1.069136
2013-01-29,1.273823
2013-02-06,1.063032
2013-02-14,0.996321
2013-02-22,0.84269
2013-03-02,0.882583
2013-03-10,1.027507
2013-03-18,0.917372
2013-03-26,1.4176
2013-04-03,0.838901
2013-04-11,1.13468
2013-04-19,1.187021
2013-04-27,1.27661
2013-05-05,0.940531
2013-05-13,1.410208
2013-05-21,1.040124
2013-06-06,1.211716
2013-06-14,1.221972
2013-06-22,1.533405
2013-07-08,1.151613
2013-07-16,1.205716
2013-07-24,1.152997
2013-08-01,1.225506
2013-08-09,1.164329
2013-08-17,1.172386
2013-08-25,1.357966
2013-09-02,0.829196
2013-09-10,1.04814
2013-09-18,1.063296
2013-09-26,1.421715
2013-10-04,0.868614
2013-10-12,1.964922
2013-10-20,1.287358
2013-10-28,0.884633
2013-11-05,0.897653
2013-11-13,1.279964
2013-11-21,1.074607
2013-11-29,1.069527
2013-12-07,1.002795
2013-12-15,1.862808
2013-12-23,1.389454
2013-12-31,0.845291
2014-01-05,0.990171
2014-01-13,0.942373
2014-01-21,0.61237
2014-01-29,0.905859
2014-02-06,1.589357
2014-02-14,0.966733
2014-02-22,0.888043
2014-03-02,0.951688
2014-03-10,1.259011
2014-03-18,0.978147
2014-03-26,1.246797
2014-04-03,1.031814
2014-04-11,1.164189
2014-04-19,1.43043
2014-04-27,1.209242
2014-05-05,1.737454
2014-05-13,0.987962
2014-05-21,1.083645
2014-05-29,1.189367
2014-06-06,1.011611
2014-06-14,1.247465
2014-06-22,1.0833315
2014-06-30,1.0435524
2014-07-08,1.1353718
2014-07-16,1.1750337
2014-07-24,1.2230897
2014-08-01,1.101276
2014-08-09,0.95093125
2014-08-17,1.0334765
2014-08-25,1.040707
2014-09-02,1.0119303
2014-09-10,0.9847658
2014-09-18,1.0305347
2014-09-26,1.1710023
2014-10-04,1.3321209
2014-10-12,1.0591044
2014-10-20,0.97274595
2014-10-28,1.2337564
2014-11-05,1.6329182
2014-11-13,2.6734242
2014-11-21,3.9352102
2014-11-29,4.0553007
2014-12-07,2.6679153
2014-12-15,1.3267955
2014-12-23,1.1025069
2014-12-31,1.5252604
2015-01-05,1.394163
2015-01-13,2.1669295
2015-01-21,1.4972258
2015-01-29,1.7477614
2015-02-06,1.486964
2015-02-14,1.5672112
2015-02-22,1.4344466
2015-03-02,1.4395114
2015-03-10,1.374483
2015-03-18,1.1809317
2015-03-26,1.7907239
2015-04-03,1.5660287
2015-04-11,1.2007228
2015-04-19,1.167746
2015-05-05,1.2823758
2015-05-13,1.3908142
2015-05-21,1.6231604
2015-05-29,1.4429868
2015-06-06,1.4251025
2015-06-22,1.4866884
2015-06-30,1.0587833
2015-07-08,1.3351607
2015-07-16,1.1503781
2015-07-24,1.1860201
2015-08-01,0.9137094
2015-08-09,0.93984455
2015-08-17,1.1471152
2015-08-25,0.9680574
2015-09-02,1.1682488
2015-09-10,1.1318634
2015-09-18,1.1288652
2015-09-26,0.95467365
2015-10-04,1.1729386
2015-10-12,0.8582075
2015-10-20,0.8457088
2015-10-28,1.1416987
2015-11-05,2.406182
2015-11-13,2.2057621
2015-11-21,2.4811144
2015-11-29,0.8161426
2015-12-07,1.8960265
2015-12-23,1.1988891
2015-12-31,1.1853704
2016-01-05,1.126274
2016-01-13,1.0675038
2016-01-21,1.317694
2016-01-29,1.2369626
2016-02-06,1.6371497
2016-02-14,1.4229238
2016-02-22,1.348282
2016-03-01,1.0077374
2016-03-09,1.5284278
2016-03-17,1.1047899
2016-03-25,1.165802
2016-04-02,1.4641852
2016-04-10,1.6477703
2016-04-18,1.3336371
2016-04-26,1.0434675
2016-05-04,1.0705597
2016-05-20,1.1292825
2016-06-05,1.2851787
2016-06-13,1.2342588
2016-06-21,0.986775
2016-06-29,0.9950449
2016-07-07,1.2604866
2016-07-15,0.95097077
2016-07-23,0.90944993
2016-07-31,0.9706184
2016-08-08,1.036799
2016-08-16,0.83857775
2016-08-24,0.9970424
2016-09-01,1.0296155
2016-09-09,1.0390856
2016-09-25,1.101685
2016-10-03,0.884892
2016-10-11,0.9763809
2016-10-19,1.1225412
2016-10-27,0.99034303
2016-11-04,1.4420719
2016-11-12,1.0930483
2016-11-20,1.0514195
2016-11-28,1.384439
2016-12-06,1.26244
2016-12-14,1.0210499
2016-12-22,1.9068514
2016-12-30,0.9432251
2017-01-05,1.54411
2017-01-13,1.2649542
2017-01-21,1.8954165
2017-01-29,1.1827253
2017-02-06,1.254278
2017-02-14,0.97539055
2017-02-22,0.8500995
2017-03-02,1.1655916
2017-03-10,1.2154195
2017-03-18,1.1421655
2017-03-26,1.0684792
2017-04-03,1.1486263
2017-04-11,1.1015856
2017-04-19,1.0186361
2017-04-27,1.2430518
2017-05-05,1.2850708
2017-05-13,1.3215979
2017-05-29,1.3585087
2017-06-06,1.241011
2017-06-22,1.2012491
2017-06-30,1.4309508
2017-07-08,1.0494831
2017-07-16,1.1256176
2017-07-24,1.0556846
2017-08-01,0.98581356
2017-08-09,0.81639415
