yDay,CHL.mean,CHL.median,CHL.sd,CHL.q5,CHL.q10,CHL.q25,CHL.q75,CHL.q90,CHL.q95,CHL.min,CHL.max
5,1.1925172,1.126274,0.33676605923504227,0.8368726,0.8751972,0.990171,1.394163,1.5497231999999999,1.6015766,0.798548,1.65343
13,1.22149206,1.057189,0.5346938649462121,0.8872466,0.9010282000000001,0.942373,1.0675038,1.7271592199999997,1.94704436,0.873465,2.1669295
21,1.06747596,1.069136,0.355573614545579,0.6580868,0.7038035999999999,0.840954,1.317694,1.42541308,1.46131944,0.61237,1.4972258
29,1.2265618,1.2369626,0.3329741253654403,0.9183678,0.9308765999999999,0.968403,1.273823,1.5581860399999998,1.6529737199999999,0.905859,1.7477614
37,1.3349139399999999,1.486964,0.33315236170424783,0.93106,0.964053,1.063032,1.589357,1.61803262,1.62759116,0.898067,1.6371497
45,1.2918194,1.4229238,0.2880379348818833,0.9726505999999999,0.9785682,0.996321,1.505908,1.54268992,1.55495056,0.966733,1.5672112
53,1.63873292,1.348282,1.171635012650583,0.8517606000000001,0.8608312,0.888043,1.4344466,2.7819004399999994,3.2310517199999995,0.84269,3.680203
61,1.14086576,1.0077374,0.26874829213449525,0.896404,0.910225,0.951688,1.422809,1.43283044,1.4361709200000001,0.882583,1.4395114
69,1.30140896,1.317616,0.18300266930186565,1.0738078,1.1201086,1.259011,1.374483,1.4668498799999998,1.4976388399999998,1.027507,1.5284278
77,1.16937512,1.1047899,0.29607956702963645,0.929527,0.941682,0.978147,1.1809317,1.4717536799999997,1.5686943399999997,0.917372,1.665635
85,1.54342378,1.4176,0.39151365094743756,1.182001,1.1982,1.246797,1.7907239,1.9740071599999998,2.03510158,1.165802,2.096196
93,1.26156798,1.406911,0.31076877603546654,0.8774836,0.9160661999999999,1.031814,1.4641852,1.5252913,1.5456599999999998,0.838901,1.5660287
101,1.2668134199999999,1.186705,0.21442043144687026,1.1405817999999999,1.1464835999999998,1.164189,1.2007228,1.4689512999999998,1.5583608,1.13468,1.6477703
109,1.3045746200000001,1.3336371,0.12157126730203155,1.1716010000000001,1.175456,1.187021,1.404039,1.4198736,1.4251518,1.167746,1.43043
117,1.153272375,1.146506,0.10837044395296397,1.049512875,1.05555825,1.0736943749999999,1.226084,1.2563996,1.2665048,1.0434675,1.27661
125,1.2287623,1.112891,0.3095049095496225,0.96653674,0.99254248,1.0705597,1.2823758,1.55542272,1.6464383599999999,0.940531,1.737454
133,1.2031958,1.2073066,0.22844657689131606,0.99333755,0.9987131,1.01483975,1.39566265,1.4043898599999998,1.4072989299999998,0.987962,1.410208
141,1.21748458,1.1292825,0.23545787530231813,1.0488282,1.0575324,1.083645,1.211211,1.45838064,1.54077052,1.040124,1.6231604
149,1.3161768999999999,1.3161768999999999,0.17933628042317584,1.20204799,1.21472898,1.25277195,1.3795818499999999,1.41762482,1.4303058100000001,1.189367,1.4429868
157,1.27804844,1.2851787,0.17955322431021112,1.051632,1.091653,1.211716,1.4251025,1.4440214,1.4503276999999999,1.011611,1.456634
165,1.30246995,1.2408619,0.13620773305314443,1.22381502,1.2256580400000001,1.2311871,1.31214475,1.4285683,1.4673761499999998,1.221972,1.506184
173,1.32215798,1.4866884,0.2648540446870729,1.0060863,1.0253975999999998,1.0833315,1.52059,1.528279,1.530842,0.986775,1.533405
181,1.12419365,1.0511678500000001,0.18546891685254616,1.002321025,1.00959715,1.031425525,1.143935975,1.29721079,1.348302395,0.9950449,1.399394
189,1.220658025,1.2060498,0.0944071565449137,1.1378079799999998,1.14024416,1.1475526999999999,1.279155125,1.3127584700000001,1.3239595849999999,1.1353718,1.3351607
197,1.125531114,1.1503781,0.10046124188497761,0.989888016,1.0288052619999999,1.145557,1.1750337,1.19344308,1.19957954,0.95097077,1.205716
205,1.1178891825,1.16950855,0.1418784123043762,0.9459819905,0.9825140510000001,1.0921102325,1.1952875,1.21196882,1.21752926,0.90944993,1.2230897
213,1.09893516,1.101276,0.1588143390989869,0.9250912,0.936473,0.9706184,1.225506,1.2603419999999999,1.2719539999999998,0.9137094,1.283566
221,1.05408336,1.036799,0.11360727205797277,0.94206189,0.94427923,0.95093125,1.164329,1.1728394,1.1756761999999998,0.93984455,1.178513
229,1.08663109,1.1471152,0.15762571581234136,0.8775575,0.91653725,1.0334765,1.172386,1.2139144,1.2277572,0.83857775,1.2416
237,1.11192216,1.040707,0.1632065155303182,0.9738544,0.9796514,0.9970424,1.195838,1.2931148,1.3255404,0.9680574,1.357966
245,1.04014032,1.0296155,0.1383792759847622,0.86574286,0.90228972,1.0119303,1.161711,1.16563368,1.16694124,0.829196,1.1682488
253,1.05235596,1.04814,0.052713266176438,0.99562976,1.00649372,1.0390856,1.057925,1.10228804,1.11707572,0.9847658,1.1318634
261,1.0755304749999999,1.071361,0.04096368372199733,1.035448895,1.04036309,1.055105675,1.0917858,1.11403344,1.12144932,1.0305347,1.1288652
269,1.14534959,1.101685,0.173118505710519,0.97927332,1.00387299,1.077672,1.1710023,1.32142992,1.37157246,0.95467365,1.421715
277,1.0379851,0.93136,0.20507394686839184,0.8718696,0.8751252,0.884892,1.1729386,1.26844798,1.30028444,0.868614,1.3321209
285,1.15637136,0.9763809,0.45794719961671676,0.87121439999999994,0.8842213000000001,0.923242,1.0591044,1.6025949599999998,1.78375848,0.8582075,1.964922
293,1.05928399,1.068066,0.16522677333341138,0.87111623,0.89652365999999994,0.97274595,1.1225412,1.22143128,1.2543946400000001,0.8457088,1.287358
301,1.065775226,1.078445,0.13476376936094098,0.905775006,0.9269170120000001,0.99034303,1.1416987,1.19693332,1.21534486,0.884633,1.2337564
309,1.47571962,1.4420719,0.6025549778771494,0.918077,0.938501,0.999773,1.6329182,2.0968764799999997,2.2515292399999995,0.897653,2.406182
317,1.76708012,1.583202,0.6594152035475955,1.13043144,1.16781458,1.279964,2.2057621,2.48635936,2.5798917799999996,1.0930483,2.6734242
