time,CHL
2011-12-31,0.319565
2012-01-05,0.456649
2012-01-13,0.34338
2012-01-21,0.301969
2012-01-29,0.372938
2012-02-06,0.393784
2012-02-14,0.453311
2012-02-22,0.213568
2012-03-01,0.26854
2012-03-09,0.354534
2012-03-17,0.261216
2012-03-25,0.245737
2012-04-02,0.176793
2012-04-10,0.274135
2012-04-26,0.229638
2012-05-04,0.293523
2012-05-20,0.15106
2012-05-28,0.258385
2012-06-13,0.181063
2012-06-21,0.160466
2012-06-29,0.095328
2012-07-07,0.169681
2012-07-23,0.226114
2012-07-31,0.243737
2012-08-08,0.302096
2012-08-24,0.189995
2012-09-17,0.155737
2012-09-25,0.258373
2012-10-03,0.214205
2012-10-11,0.163762
2012-11-04,0.090392
2012-11-12,0.126176
2012-11-20,0.12931
2012-11-28,0.136945
2012-12-06,0.114229
2012-12-14,0.166181
2012-12-22,0.165087
2012-12-30,0.491379
2013-01-05,0.574192
2013-01-13,0.475363
2013-01-21,0.417652
2013-01-29,0.490713
2013-02-06,0.316139
2013-02-14,0.229431
2013-02-22,0.195432
2013-03-10,0.227566
2013-03-26,0.132304
2013-04-11,0.182978
2013-04-27,0.187227
2013-05-13,0.264581
2013-05-29,0.144878
2013-06-06,0.245038
2013-06-22,0.150148
2013-06-30,0.125572
2013-07-08,0.204671
2013-07-16,0.201657
2013-08-01,0.284758
2013-08-17,0.16315
2013-09-02,0.245679
2013-09-10,0.313662
2013-10-04,0.307674
2013-10-28,0.180728
2013-11-05,0.136177
2013-11-13,0.247643
2013-11-21,0.153569
2013-11-29,0.188932
2013-12-07,0.159709
2013-12-15,0.204289
2013-12-23,0.154111
2013-12-31,0.159871
2014-01-05,0.220713
2014-01-13,0.318151
2014-01-21,0.309701
2014-01-29,0.394056
2014-02-06,0.242779
2014-02-14,0.239696
2014-02-22,0.34745
2014-03-02,0.188892
2014-03-10,0.14141
2014-03-18,0.132815
2014-03-26,0.156136
2014-04-03,0.21374
2014-05-13,0.195612
2014-05-21,0.136688
2014-06-14,0.16760835
2014-07-08,0.18121314
2014-07-16,0.20522302
2014-07-24,0.21697216
2014-08-01,0.15495688
2014-08-09,0.14485872
2014-08-17,0.21309398
2014-08-25,0.15029895
2014-09-02,0.11597722
2014-09-18,0.3172205
2014-09-26,0.21767962
2014-10-12,0.16330495
2014-10-20,0.14924018
2014-10-28,0.14316851
2014-11-05,0.14665213
2014-11-13,0.29544303
2014-11-21,0.20673455
2014-11-29,0.21826194
2014-12-07,0.15131536
2014-12-15,0.13938838
2014-12-23,0.1518213
2014-12-31,0.1556303
2015-01-05,0.8224538
2015-01-13,0.8510877
2015-01-21,0.36982667
2015-01-29,0.23889302
2015-02-06,0.21116024
2015-02-14,0.15035945
2015-02-22,0.14068279
2015-03-02,0.1459006
2015-03-10,0.74872893
2015-03-18,0.5897761
2015-03-26,0.1939427
2015-04-03,0.20884898
2015-04-19,0.37730336
2015-05-29,0.16508478
2015-06-14,0.18898393
