time,CHL
2012-01-05,0.653491
2012-02-14,0.965803
2012-03-01,1.414335
2012-03-09,1.00556
2012-03-25,1.632736
2012-04-02,0.763256
2012-04-18,0.957306
2012-04-26,0.657465
2012-05-04,0.885565
2012-05-12,0.645795
2012-05-20,0.627884
2012-06-13,0.587169
2012-06-29,0.498708
2012-07-07,0.407651
2012-07-15,0.371838
2012-07-23,0.327564
2012-08-08,0.333078
2012-08-16,0.286751
2012-08-24,0.275404
2012-09-01,0.396966
2012-09-09,0.298303
2012-09-17,0.368524
2012-09-25,0.319596
2012-10-03,0.352325
2012-10-19,0.327691
2012-10-27,0.326745
2012-11-12,0.47885
2012-11-28,0.422923
2013-01-21,0.578588
2013-01-29,0.511705
2013-02-14,0.586248
2013-02-22,0.636764
2013-03-18,0.594754
2013-03-26,0.605077
2013-04-03,0.729962
2013-04-11,0.570109
2013-04-19,1.106177
2013-05-05,0.871812
2013-05-13,0.730992
2013-05-21,0.678658
2013-05-29,0.424096
2013-06-06,0.537054
2013-06-14,0.524982
2013-06-22,0.449731
2013-07-08,0.30586
2013-07-16,0.312324
2013-08-01,0.251316
2013-08-09,0.345955
2013-08-17,0.273008
2013-08-25,0.284559
2013-09-02,0.26204
2013-09-10,0.228382
2013-09-18,0.305556
2013-09-26,0.450872
2013-10-04,0.249743
2013-10-12,0.28224900000000003
2013-10-20,0.309949
2013-11-21,0.480745
2014-02-06,0.525191
2014-02-14,0.475009
2014-02-22,0.742632
2014-03-02,0.792771
2014-03-10,0.427444
2014-03-18,1.816738
2014-03-26,0.976533
2014-04-11,0.696182
2014-04-19,2.01058
2014-05-05,3.163747
2014-05-13,13.680794
2014-05-21,1.174239
2014-06-06,1.8566562
2014-06-14,0.97346896
2014-06-22,0.613869
2014-06-30,0.47940665
2014-07-16,0.5444018
2014-07-24,0.53773904
2014-08-09,0.3340837
2014-08-17,0.37388557
2014-08-25,0.15260252
2014-09-02,0.21132167
2014-09-10,0.29178703
2014-09-18,0.2998325
2014-09-26,0.28186327
2014-10-04,0.42621157
2014-10-12,0.2881695
2014-10-28,0.4388889
2014-11-13,0.888437
2014-12-15,0.76851165
2014-12-23,0.39930698
2015-03-02,0.7672346
2015-03-10,1.1860652
2015-03-26,1.8352729
2015-04-03,1.757914
2015-04-11,1.4354465
2015-04-19,3.3058274
2015-04-27,1.2475413
2015-05-05,1.0645581
2015-05-13,1.1782908
2015-05-21,0.8420374
2015-05-29,0.5365565
2015-06-06,0.4295327
2015-06-14,0.38346803
2015-06-22,0.42969796
2015-06-30,0.40220666
2015-07-16,0.4035228
2015-07-24,0.4221106
2015-08-01,0.29383686
