yDay,CHL.mean,CHL.median,CHL.sd,CHL.q5,CHL.q10,CHL.q25,CHL.q75,CHL.q90,CHL.q95,CHL.min,CHL.max
5,0.65678135,0.65678135,0.00465325759495431,0.653820035,0.6541490700000001,0.655136175,0.6584265250000001,0.65941363,0.6597426650000001,0.653491,0.6600717
21,0.578588,0.578588,NA,0.578588,0.578588,0.578588,0.578588,0.578588,0.578588,0.578588,0.578588
29,0.58047205,0.58047205,0.09725129475438875,0.518581705,0.5254584099999999,0.5460885249999999,0.614855575,0.6354856899999999,0.6423623949999999,0.511705,0.6492391
37,0.84407045,0.84407045,0.45096364295207336,0.557078945,0.58896689,0.684630725,1.0035101750000002,1.09917401,1.131061955,0.525191,1.1629499
45,0.6756866666666667,0.586248,0.2573308064152703,0.4861329,0.4972568,0.5306285,0.7760255,0.8898919999999999,0.9278474999999999,0.475009,0.965803
53,0.8900570333333333,0.742632,0.3510459159010447,0.6473508,0.6579376,0.6896979999999999,1.01670355,1.18114648,1.23596079,0.636764,1.2907751
61,1.184053375,1.103553,0.48776525038929924,0.77106506,0.7748955200000001,0.7863869,1.501219475,1.65761153,1.709742215,0.7672346,1.7618729
69,0.8730230666666667,1.00556,0.3962966821655379,0.48525560000000006,0.5430672,0.716502,1.0958126,1.1499641600000001,1.16801468,0.427444,1.1860652
77,1.0178669,0.6421087,0.6922477105158455,0.59948947,0.60422494,0.61843135,1.22942335,1.5818121399999998,1.6992750699999999,0.594754,1.816738
85,1.2624047250000001,1.3046345,0.5712925638057111,0.6607953999999999,0.7165138,0.883669,1.683370225,1.77451183,1.8048923650000002,0.605077,1.8352729
93,1.17400845,1.1040789,0.509975072375644,0.7349561,0.7399502,0.7549325,1.52315485,1.66401034,1.7109621699999997,0.729962,1.757914
101,0.9005791666666667,0.696182,0.46747823321795784,0.5827163,0.5953236,0.6331454999999999,1.06581425,1.2875936,1.36152005,0.570109,1.4354465
109,1.60569726,1.106177,1.0770732630135975,0.71033792,0.77207994,0.957306,2.01058,2.7877284399999995,3.04677792,0.6485959,3.3058274
117,0.9939344,1.0767969,0.3036398448575384,0.69939819,0.7413313799999999,0.86713095,1.1621690999999998,1.21339242,1.23046686,0.657465,1.2475413
125,1.37121114,0.885565,1.0053992754286816,0.87066128,0.87094896,0.871812,1.0645581,2.324071439999999,2.7439092199999995,0.8703736,3.163747
133,3.42197078,0.8739821,5.738430072352999,0.6628343999999999,0.6798738,0.730992,1.1782908,8.679792719999995,11.180293359999999,0.645795,13.680794
141,0.91309952,0.8420374,0.28203596292461003,0.6380388,0.6481936,0.678658,1.174239,1.21530312,1.22899116,0.627884,1.2426792
149,0.47291089,0.45808017,0.05767845097479041,0.42749441699999996,0.430892834,0.44108808499999996,0.497318335,0.520861234,0.528708867,0.424096,0.5365565
157,0.8366857,0.53027695,0.6816592225948338,0.44362777999999997,0.45772286,0.5000081000000001,0.86695455,1.4607755400000002,1.6587158699999995,0.4295327,1.8566562
165,0.600034398,0.531084,0.22187096595794736,0.411770824,0.440073618,0.524982,0.587169,0.8189489759999999,0.896208968,0.38346803,0.97346896
173,0.508092065,0.49440065,0.08504912429177759,0.432702916,0.435707872,0.44472274,0.557769975,0.59142939,0.6026491949999999,0.42969796,0.613869
181,0.46939496999999997,0.48833261,0.045644045503655785,0.4137866585,0.425366657,0.4601066525,0.4976209275,0.498273171,0.4984905855,0.40220666,0.498708
189,0.39932419333333335,0.407651,0.08959147770057223,0.3160391000000001,0.3262182,0.3567555,0.44605629,0.46909946399999997,0.47678052200000004,0.30586,0.48446158
