time,SST
2002-06-01,13.088
2002-06-02,13.177
2002-06-03,13.286
2002-06-04,12.984
2002-06-05,12.565
2002-06-06,12.645
2002-06-07,12.514
2002-06-08,12.378
2002-06-09,12.391
2002-06-10,12.209999999999999
2002-06-11,12.291
2002-06-12,12.249
2002-06-13,12.176
2002-06-14,12.137
2002-06-15,12.068
2002-06-16,12.033
2002-06-17,11.969
2002-06-18,11.968
2002-06-19,12.017
2002-06-20,11.859
2002-06-21,11.624
2002-06-22,11.636
2002-06-23,11.619
2002-06-24,11.128
2002-06-25,10.913
2002-06-26,10.924999999999999
2002-06-27,11.068
2002-06-28,11.185
2002-06-29,11.206999999999999
2002-06-30,11.072
2002-07-01,11.209
2002-07-02,11.212
2002-07-03,10.955
2002-07-04,10.975
2002-07-05,10.671999999999999
2002-07-06,10.6
2002-07-07,11.292
2002-07-08,10.779
2002-07-09,10.677
2002-07-10,10.734
2002-07-11,10.732
2002-07-12,10.656
2002-07-13,10.126
2002-07-14,10.414
2002-07-15,9.903
2002-07-16,9.516
2002-07-17,10.799999999999999
2002-07-18,11.081
2002-07-19,9.116
2002-07-20,10.004
2002-07-21,10.201
2002-07-22,10.275
2002-07-23,10.067
2002-07-24,10.121
2002-07-25,10.229
2002-07-26,10.229
2002-07-27,9.855
2002-07-28,9.713
2002-07-29,9.786999999999999
2002-07-30,9.763
2002-07-31,10.256
2002-08-01,10.982
2002-08-02,11.073
2002-08-03,10.663
2002-08-04,10.683
2002-08-05,9.257
2002-08-06,9.141
2002-08-07,9.222
2002-08-08,9.413
2002-08-09,9.357
2002-08-10,9.764
2002-08-11,9.822
2002-08-12,9.584
2002-08-13,9.415
2002-08-14,9.575
2002-08-15,9.765
2002-08-16,9.743
2002-08-17,9.679
2002-08-18,9.386
2002-08-19,8.951999999999998
2002-08-20,8.866
2002-08-21,8.943000000000001
2002-08-22,8.95
2002-08-23,8.863
2002-08-24,8.901
2002-08-25,8.818999999999999
2002-08-26,8.889
2002-08-27,8.971
2002-08-28,9.375
2002-08-29,9.185
2002-08-30,8.828
2002-08-31,8.811
2002-09-01,8.82
2002-09-02,9.027
2002-09-03,9.062999999999999
2002-09-04,9.12
2002-09-05,9.049999999999999
2002-09-06,9.102
2002-09-07,9.205
2002-09-08,9.228
2002-09-09,9.181
2002-09-10,9.088
2002-09-11,8.847000000000001
2002-09-12,8.768
2002-09-13,8.477
2002-09-14,8.599
2002-09-15,7.422999999999998
2002-09-16,7.815000000000001
2002-09-17,8.297999999999998
2002-09-18,9.203
2002-09-19,9.228
2002-09-20,9.561
2002-09-21,9.597999999999999
2002-09-22,9.261
2002-09-23,9.708
2002-09-24,9.786
